load,c1,c2,c3,c4,c5,c6
0,0.263022481,5.398534489,7.394808143,6.368742289,3.973837366,6.65349766
5,5.511512645,6.454964048,5.464621252,5.357313119,0.820006413,6.847865643
10,7.865078872,6.156382557,7.610632635,8.574166384,1.868575426,4.45112841
15,3.658372786,4.204032416,9.251072004,5.805193107,7.299335134,4.675016444
20,3.743183468,7.782358678,7.934154789,9.627835291,0.195225717,7.627559296
25,5.10584081,2.343325268,0.789027637,5.823412786,7.480223484,6.706134142
30,9.936727603,4.838343835,4.009626972,4.920619897,0.085703456,8.695442197
35,6.355909027,4.929606395,9.243009236,0.469767289,1.15854182,0.389033002
40,2.546638997,7.064508957,2.020822427,6.002106674,9.542326569,1.805527271
45,2.338777139,9.280703251,9.364774813,3.464315946,4.181249601,1.632363782
50,7.524165608,9.414855193,5.837989543,5.293604426,4.983186252,3.634442056
