100,137528,137526,137524,137523,137521,137519
95,85573,85571,85569,85568,85566,85564
90,95932,95930,95928,95926,95924,95922
85,78538,78536,78534,78532,78530,78528
80,59349,59347,59345,59344,59342,59340
75,58031,58029,58027,58026,58025,58023
70,54470,54468,54466,54465,54464,54462
65,50132,50130,50129,50127,50126,50125
60,50624,50622,50620,50619,50618,50617
55,43336,43334,43332,43330,43328,43326
50,39740,39738,39737,39736,39734,39733
45,36382,36380,36378,36377,36376,36375
40,33991,33989,33988,33986,33985,33984
35,30088,30086,30085,30084,30082,30081
30,27551,27549,27548,27546,27545,27544
25,24153,24151,24149,24148,24147,24146
20,20223,20221,20219,20218,20217,20215
15,19305,19303,19302,19300,19299,19298
10,15898,15896,15895,15894,15893,15892
5,14829,14827,14826,14825,14824,14822
0,13829,13828,13826,13825,13824,13823
