Linux 4.15.0-33-generic (themistocles) 	05/10/2019 	_x86_64_	(32 CPU)

11:10:54 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:10:55 PM       0      0.00      0.00      1.00      0.00      0.00     99.00
11:10:55 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
11:10:55 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
11:10:55 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
11:10:55 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
11:10:55 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
11:10:55 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
11:10:55 PM       7      0.00      0.00      0.00      0.00      0.00    100.00
11:10:55 PM       8      3.03      0.00      0.00      0.00      0.00     96.97
11:10:55 PM       9     89.00      0.00      7.00      0.00      0.00      4.00
11:10:55 PM      10     90.00      0.00      5.00      0.00      0.00      5.00
11:10:55 PM      11     91.92      0.00      4.04      0.00      0.00      4.04
11:10:55 PM      12     91.92      0.00      4.04      0.00      0.00      4.04
11:10:55 PM      13     89.11      0.00      6.93      0.00      0.00      3.96
11:10:55 PM      14     89.90      0.00      7.07      0.00      0.00      3.03
11:10:55 PM      15      0.00      0.00      0.00      0.00      0.00    100.00

11:10:55 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:10:56 PM       0      8.42      0.00      4.21      0.00      0.00     87.37
11:10:56 PM       1     14.00      0.00      6.00      0.00      0.00     80.00
11:10:56 PM       2      9.00      0.00      6.00      0.00      0.00     85.00
11:10:56 PM       3     13.33      0.00      5.71      0.00      0.00     80.95
11:10:56 PM       4     12.50      0.00      8.33      0.00      0.00     79.17
11:10:56 PM       5      9.09      0.00      3.03      0.00      0.00     87.88
11:10:56 PM       6      1.03      0.00      0.00      0.00      0.00     98.97
11:10:56 PM       7      0.00      0.00      0.00      0.00      0.00    100.00
11:10:56 PM       8      0.00      0.00      0.00      0.00      0.00    100.00
11:10:56 PM       9     91.00      0.00      6.00      0.00      0.00      3.00
11:10:56 PM      10     94.00      0.00      4.00      0.00      0.00      2.00
11:10:56 PM      11     94.00      0.00      3.00      0.00      0.00      3.00
11:10:56 PM      12     90.00      0.00      8.00      0.00      0.00      2.00
11:10:56 PM      13     88.00      0.00      9.00      0.00      0.00      3.00
11:10:56 PM      14     94.00      0.00      3.00      0.00      0.00      3.00
11:10:56 PM      15      3.00      0.00      1.00      0.00      0.00     96.00

11:10:56 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:10:57 PM       0     16.67      0.00     10.42      0.00      0.00     72.92
11:10:57 PM       1     17.53      0.00      7.22      0.00      0.00     75.26
11:10:57 PM       2     20.20      0.00      9.09      0.00      0.00     70.71
11:10:57 PM       3     14.13      0.00      7.61      0.00      0.00     78.26
11:10:57 PM       4     18.28      0.00     10.75      0.00      0.00     70.97
11:10:57 PM       5     75.25      0.00     24.75      0.00      0.00      0.00
11:10:57 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
11:10:57 PM       7      2.04      0.00      3.06      0.00      0.00     94.90
11:10:57 PM       8      0.00      0.00      0.00      0.00      0.00    100.00
11:10:57 PM       9     95.96      0.00      4.04      0.00      0.00      0.00
11:10:57 PM      10     96.00      0.00      4.00      0.00      0.00      0.00
11:10:57 PM      11     93.00      0.00      7.00      0.00      0.00      0.00
11:10:57 PM      12     95.00      0.00      5.00      0.00      0.00      0.00
11:10:57 PM      13     95.05      0.00      4.95      0.00      0.00      0.00
11:10:57 PM      14     95.00      0.00      5.00      0.00      0.00      0.00
11:10:57 PM      15      0.00      0.00      0.00      0.00      0.00    100.00

11:10:57 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:10:58 PM       0     26.92      0.00     16.35      0.00      0.00     56.73
11:10:58 PM       1     21.78      0.00     16.83      0.00      0.00     61.39
11:10:58 PM       2     24.24      0.00     14.14      0.00      0.00     61.62
11:10:58 PM       3     24.00      0.00     15.00      0.00      0.00     61.00
11:10:58 PM       4     35.11      0.00     18.09      0.00      0.00     46.81
11:10:58 PM       5     73.00      0.00     27.00      0.00      0.00      0.00
11:10:58 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
11:10:58 PM       7      0.00      0.00      0.00      0.00      0.00    100.00
11:10:58 PM       8      0.00      0.00      0.00      0.00      0.00    100.00
11:10:58 PM       9     94.06      0.00      5.94      0.00      0.00      0.00
11:10:58 PM      10     96.04      0.00      3.96      0.00      0.00      0.00
11:10:58 PM      11     92.00      0.00      7.00      0.00      0.00      1.00
11:10:58 PM      12     94.06      0.00      5.94      0.00      0.00      0.00
11:10:58 PM      13     95.96      0.00      4.04      0.00      0.00      0.00
11:10:58 PM      14     94.06      0.00      5.94      0.00      0.00      0.00
11:10:58 PM      15      0.00      0.00      0.00      0.00      0.00    100.00

11:10:58 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:10:59 PM       0     32.26      0.00     10.75      0.00      0.00     56.99
11:10:59 PM       1     32.67      0.00     13.86      0.00      0.00     53.47
11:10:59 PM       2     30.61      0.00     13.27      0.00      0.00     56.12
11:10:59 PM       3     31.00      0.00     16.00      0.00      0.00     53.00
11:10:59 PM       4     43.56      0.00     25.74      0.00      0.00     30.69
11:10:59 PM       5     77.78      0.00     22.22      0.00      0.00      0.00
11:10:59 PM       6      0.00      0.00      1.00      0.00      0.00     99.00
11:10:59 PM       7      0.00      0.00      0.00      0.00      0.00    100.00
11:10:59 PM       8      0.00      0.00      0.00      0.00      0.00    100.00
11:10:59 PM       9     93.00      0.00      6.00      0.00      0.00      1.00
11:10:59 PM      10     93.94      0.00      5.05      0.00      0.00      1.01
11:10:59 PM      11     97.98      0.00      2.02      0.00      0.00      0.00
11:10:59 PM      12     95.00      0.00      4.00      0.00      0.00      1.00
11:10:59 PM      13     96.97      0.00      3.03      0.00      0.00      0.00
11:10:59 PM      14     94.95      0.00      5.05      0.00      0.00      0.00
11:10:59 PM      15      0.00      0.00      0.00      0.00      0.00    100.00

11:10:59 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:11:00 PM       0     32.69      0.00     19.23      0.00      0.00     48.08
11:11:00 PM       1     29.29      0.00     19.19      0.00      0.00     51.52
11:11:00 PM       2     36.00      0.00     13.00      0.00      0.00     51.00
11:11:00 PM       3     34.00      0.00     15.00      0.00      0.00     51.00
11:11:00 PM       4     40.00      0.00     31.58      0.00      0.00     28.42
11:11:00 PM       5     74.00      0.00     26.00      0.00      0.00      0.00
11:11:00 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
11:11:00 PM       7      0.00      0.00      1.00      0.00      0.00     99.00
