Linux 4.15.0-33-generic (themistocles) 	05/10/2019 	_x86_64_	(32 CPU)

11:08:57 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:08:58 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
11:08:58 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
11:08:58 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
11:08:58 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
11:08:58 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
11:08:58 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
11:08:58 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
11:08:58 PM       7      0.00      0.00      0.00      0.00      0.00    100.00
11:08:58 PM       8      0.00      0.00      0.00      0.00      0.00    100.00
11:08:58 PM       9     90.10      0.00      4.95      0.00      0.00      4.95
11:08:58 PM      10     90.91      0.00      5.05      0.00      0.00      4.04
11:08:58 PM      11     92.00      0.00      4.00      0.00      0.00      4.00
11:08:58 PM      12     89.00      0.00      7.00      0.00      0.00      4.00
11:08:58 PM      13     90.10      0.00      5.94      0.00      0.00      3.96
11:08:58 PM      14     91.00      0.00      6.00      0.00      0.00      3.00
11:08:58 PM      15      0.00      0.00      0.00      0.00      0.00    100.00

11:08:58 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:08:59 PM       0     12.24      0.00      7.14      0.00      0.00     80.61
11:08:59 PM       1     10.75      0.00      4.30      0.00      0.00     84.95
11:08:59 PM       2     10.10      0.00      7.07      0.00      0.00     82.83
11:08:59 PM       3     11.22      0.00      6.12      0.00      0.00     82.65
11:08:59 PM       4      9.38      0.00      4.17      0.00      0.00     86.46
11:08:59 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
11:08:59 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
11:08:59 PM       7      0.00      0.00      0.99      0.00      0.00     99.01
11:08:59 PM       8      0.00      0.00      0.00      0.00      0.00    100.00
11:08:59 PM       9     88.12      0.00      6.93      0.00      0.00      4.95
11:08:59 PM      10     88.12      0.00      7.92      0.00      0.00      3.96
11:08:59 PM      11     91.92      0.00      4.04      0.00      0.00      4.04
11:08:59 PM      12     90.10      0.00      5.94      0.00      0.00      3.96
11:08:59 PM      13     91.92      0.00      4.04      0.00      0.00      4.04
11:08:59 PM      14     90.91      0.00      5.05      0.00      0.00      4.04
11:08:59 PM      15      3.00      0.00      0.00      0.00      0.00     97.00

11:08:59 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:09:00 PM       0     19.39      0.00     15.31      0.00      0.00     65.31
11:09:00 PM       1     22.00      0.00     15.00      0.00      0.00     63.00
11:09:00 PM       2     27.08      0.00      9.38      0.00      0.00     63.54
11:09:00 PM       3     22.11      0.00     10.53      0.00      0.00     67.37
11:09:00 PM       4     16.67      0.00     11.46      0.00      0.00     71.88
11:09:00 PM       5      0.00      0.00      0.99      0.00      0.00     99.01
11:09:00 PM       6      0.00      0.00      1.00      0.00      0.00     99.00
11:09:00 PM       7      0.00      0.00      1.01      0.00      0.00     98.99
11:09:00 PM       8      0.00      0.00      0.00      0.00      0.00    100.00
11:09:00 PM       9     96.97      0.00      3.03      0.00      0.00      0.00
11:09:00 PM      10     93.07      0.00      6.93      0.00      0.00      0.00
11:09:00 PM      11     95.00      0.00      5.00      0.00      0.00      0.00
11:09:00 PM      12     94.00      0.00      6.00      0.00      0.00      0.00
11:09:00 PM      13     96.00      0.00      4.00      0.00      0.00      0.00
11:09:00 PM      14     93.07      0.00      6.93      0.00      0.00      0.00
11:09:00 PM      15      0.00      0.00      0.00      0.00      0.00    100.00

11:09:00 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:09:01 PM       0     28.57      0.00     18.37      0.00      0.00     53.06
11:09:01 PM       1     28.28      0.00     17.17      0.00      0.00     54.55
11:09:01 PM       2     29.17      0.00     17.71      0.00      0.00     53.12
11:09:01 PM       3     31.58      0.00     15.79      0.00      0.00     52.63
11:09:01 PM       4     27.00      0.00     14.00      0.00      0.00     59.00
11:09:01 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
11:09:01 PM       6      0.00      0.00      2.00      0.00      0.00     98.00
11:09:01 PM       7      5.00      0.00      5.00      0.00      0.00     90.00
11:09:01 PM       8      0.00      0.00      0.00      0.00      0.00    100.00
11:09:01 PM       9     92.08      0.00      7.92      0.00      0.00      0.00
11:09:01 PM      10     95.00      0.00      5.00      0.00      0.00      0.00
11:09:01 PM      11     93.00      0.00      7.00      0.00      0.00      0.00
11:09:01 PM      12     96.00      0.00      4.00      0.00      0.00      0.00
11:09:01 PM      13     96.04      0.00      3.96      0.00      0.00      0.00
11:09:01 PM      14     95.00      0.00      4.00      0.00      0.00      1.00
11:09:01 PM      15      0.00      0.00      0.00      0.00      0.00    100.00

11:09:01 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:09:02 PM       0     39.39      0.00     14.14      0.00      0.00     46.46
11:09:02 PM       1     37.62      0.00     14.85      0.00      0.00     47.52
11:09:02 PM       2     36.73      0.00     17.35      0.00      0.00     45.92
11:09:02 PM       3     34.00      0.00     18.00      0.00      0.00     48.00
11:09:02 PM       4     36.27      0.00     14.71      0.00      0.00     49.02
11:09:02 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
11:09:02 PM       6      0.00      0.00      1.00      0.00      0.00     99.00
11:09:02 PM       7      0.00      0.00      0.00      0.00      0.00    100.00
11:09:02 PM       8      0.00      0.00      0.00      0.00      0.00    100.00
11:09:02 PM       9     95.96      0.00      4.04      0.00      0.00      0.00
11:09:02 PM      10     93.94      0.00      4.04      0.00      0.00      2.02
11:09:02 PM      11     96.00      0.00      3.00      0.00      0.00      1.00
11:09:02 PM      12     95.05      0.00      3.96      0.00      0.00      0.99
11:09:02 PM      13     92.00      0.00      5.00      0.00      0.00      3.00
