Linux 4.15.0-33-generic (themistocles) 	05/10/2019 	_x86_64_	(32 CPU)

11:14:27 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:14:28 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
11:14:28 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
11:14:28 PM       2      0.00      0.00      0.99      0.00      0.00     99.01
11:14:28 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
11:14:28 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
11:14:28 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
11:14:28 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
11:14:28 PM       7      0.00      0.00      0.00      0.00      0.00    100.00
11:14:28 PM       8      0.00      0.00      0.00      0.00      0.00    100.00
11:14:28 PM       9     90.00      0.00      6.00      0.00      0.00      4.00
11:14:28 PM      10     91.00      0.00      5.00      0.00      0.00      4.00
11:14:28 PM      11     89.00      0.00      7.00      0.00      0.00      4.00
11:14:28 PM      12     90.91      0.00      5.05      0.00      0.00      4.04
11:14:28 PM      13     90.91      0.00      5.05      0.00      0.00      4.04
11:14:28 PM      14     89.00      0.00      7.00      0.00      0.00      4.00
11:14:28 PM      15      0.00      0.00      0.00      0.00      0.00    100.00

11:14:28 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:14:29 PM       0     14.14      0.00      5.05      0.00      0.00     80.81
11:14:29 PM       1     19.00      0.00      8.00      0.00      0.00     73.00
11:14:29 PM       2     12.00      0.00      6.00      0.00      0.00     82.00
11:14:29 PM       3     11.00      0.00      7.00      0.00      0.00     82.00
11:14:29 PM       4     12.00      0.00      6.00      0.00      0.00     82.00
11:14:29 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
11:14:29 PM       6      4.04      0.00      2.02      0.00      0.00     93.94
11:14:29 PM       7      0.00      0.00      0.00      0.00      0.00    100.00
11:14:29 PM       8      0.00      0.00      0.00      0.00      0.00    100.00
11:14:29 PM       9     83.17      0.00     10.89      0.00      0.00      5.94
11:14:29 PM      10     86.87      0.00      6.06      0.00      0.00      7.07
11:14:29 PM      11     87.00      0.00      6.00      0.00      0.00      7.00
11:14:29 PM      12     85.00      0.00      9.00      0.00      0.00      6.00
11:14:29 PM      13     88.00      0.00      6.00      0.00      0.00      6.00
11:14:29 PM      14     86.00      0.00      8.00      0.00      0.00      6.00
11:14:29 PM      15      3.00      0.00      1.00      0.00      0.00     96.00

11:14:29 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:14:30 PM       0     21.43      0.00     15.31      0.00      0.00     63.27
11:14:30 PM       1     26.92      0.00     12.50      0.00      0.00     60.58
11:14:30 PM       2     22.92      0.00     10.42      0.00      0.00     66.67
11:14:30 PM       3     21.05      0.00     12.63      0.00      0.00     66.32
11:14:30 PM       4     15.22      0.00      8.70      0.00      0.00     76.09
11:14:30 PM       5      0.00      0.00      1.01      0.00      0.00     98.99
11:14:30 PM       6      4.17      0.00      6.25      0.00      0.00     89.58
11:14:30 PM       7      0.00      0.00      0.00      0.00      0.00    100.00
11:14:30 PM       8      0.00      0.00      0.00      0.00      0.00    100.00
11:14:30 PM       9     93.94      0.00      6.06      0.00      0.00      0.00
11:14:30 PM      10     95.05      0.00      4.95      0.00      0.00      0.00
11:14:30 PM      11     98.00      0.00      2.00      0.00      0.00      0.00
11:14:30 PM      12     94.00      0.00      6.00      0.00      0.00      0.00
11:14:30 PM      13     93.07      0.00      6.93      0.00      0.00      0.00
11:14:30 PM      14     94.95      0.00      5.05      0.00      0.00      0.00
11:14:30 PM      15      0.00      0.00      0.00      0.00      0.00    100.00

11:14:30 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:14:31 PM       0     33.67      0.00     16.33      0.00      0.00     50.00
11:14:31 PM       1     32.99      0.00     12.37      0.00      0.00     54.64
11:14:31 PM       2     29.59      0.00     15.31      0.00      0.00     55.10
11:14:31 PM       3     31.63      0.00     15.31      0.00      0.00     53.06
11:14:31 PM       4     24.75      0.00     13.86      0.00      0.00     61.39
11:14:31 PM       5      0.00      0.00      1.00      0.00      0.00     99.00
11:14:31 PM       6      4.85      0.00      6.80      0.00      0.00     88.35
11:14:31 PM       7      0.00      0.00      0.00      0.00      0.00    100.00
11:14:31 PM       8      0.00      0.00      0.00      0.00      0.00    100.00
11:14:31 PM       9     97.00      0.00      3.00      0.00      0.00      0.00
11:14:31 PM      10     93.94      0.00      6.06      0.00      0.00      0.00
11:14:31 PM      11     95.96      0.00      4.04      0.00      0.00      0.00
11:14:31 PM      12     97.98      0.00      2.02      0.00      0.00      0.00
11:14:31 PM      13     97.00      0.00      3.00      0.00      0.00      0.00
11:14:31 PM      14     93.07      0.00      6.93      0.00      0.00      0.00
11:14:31 PM      15      0.00      0.00      0.00      0.00      0.00    100.00

