CPU,%user,%system,%idle,load
0,22.52,8.34,69.14,25
1,16.68,7.64,75.68,25
2,18.99,7.12,73.89,25
3,17.08,6.94,75.98,25
4,14.97,7.7,77.33,25
5,15.64,7.46,76.9,25
6,15.58,7.62,76.8,25
7,14.3,7.32,78.38,25
8,37.53,16.36,46.11,25
9,49.71,4.72,45.58,25
10,54.8,4.84,40.36,25
11,51.65,4.35,44,25
12,51.36,4.81,43.84,25
13,52.38,4.89,42.73,25
14,50.59,4.7,44.71,25
15,3.13,0.71,96.16,25
0,19.65,11.07,69.27,50
1,15.59,7.27,77.14,50
2,14.95,8.28,76.77,50
3,15.86,8.12,76.02,50
4,16.16,7.82,76.02,50
5,16.56,7.93,75.51,50
6,16.92,7.92,75.16,50
7,15.99,7.39,76.62,50
8,20.34,11.52,68.15,50
9,33.28,3.65,63.07,50
10,36.53,3.57,59.9,50
11,34.76,3.33,61.9,50
12,33.6,3.53,62.87,50
13,37.35,3.8,58.85,50
14,35.35,3.65,61,50
15,0.8,0.23,98.97,50
0,21.95,12.19,65.86,75
1,18.63,9.74,71.62,75
2,18.27,10.11,71.63,75
3,18.66,9.55,71.79,75
4,18.75,9.74,71.51,75
5,18.46,9.85,71.69,75
6,18.89,10.07,71.05,75
7,18.49,9.2,72.31,75
8,15.28,8.29,76.43,75
9,27.22,2.83,69.95,75
10,26.88,3.03,70.09,75
11,26.11,2.34,71.55,75
12,26.48,2.3,71.22,75
13,25.63,2.55,71.82,75
14,28.12,3.11,68.76,75
15,3.74,1.14,95.12,75
