100,27788,27787,27785,27783,27781,27779
95,26649,26647,26646,26644,26643,26642
90,25792,25791,25789,25788,25787,25785
85,24921,24919,24917,24916,24915,24914
80,24035,24034,24032,24031,24030,24028
75,23068,23067,23065,23064,23063,23062
70,22379,22377,22375,22374,22373,22372
65,21475,21473,21472,21470,21469,21468
60,20519,20517,20515,20514,20513,20511
55,19792,19790,19788,19787,19786,19785
50,18891,18889,18888,18887,18886,18885
45,18092,18090,18089,18087,18086,18085
40,17264,17263,17261,17260,17259,17258
35,16492,16491,16489,16488,16487,16485
30,15754,15753,15751,15750,15749,15748
25,15064,15062,15061,15060,15059,15057
20,14551,14549,14548,14546,14545,14544
15,14280,14278,14276,14275,14274,14273
10,13919,13917,13915,13914,13913,13912
5,13627,13625,13624,13623,13622,13620
0,12932,12931,12929,12928,12927,12925
